SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO
H,00 A 04,BOLIVIA,2018,7,METROPOLITANA DE SANTIAGO,146.0,121.0,4.0,125.0,271,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,8.0,13.0,,13.0,21,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,9,MAULE,7.0,7.0,,7.0,14,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,10,ÑUBLE,3.0,1.0,,1.0,4,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,11,BIOBÍO,2.0,,,,2,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,12,LA ARAUCANÍA,2.0,1.0,,1.0,3,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,14,LOS LAGOS,1.0,,,,1,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,1.0,,,,1,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2018,17,REGIÓN IGNORADA,,188.0,2.0,190.0,190,2018,BOL,2.27205987230154,4.22362365271844,3.519
H,00 A 04,BOLIVIA,2019,1,ARICA Y PARINACOTA,55.0,66.0,2.0,68.0,123,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,2,TARAPACÁ,182.0,291.0,8.0,299.0,481,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,3,ANTOFAGASTA,204.0,319.0,3.0,322.0,526,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,4,ATACAMA,23.0,55.0,,55.0,78,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,5,COQUIMBO,4.0,15.0,,15.0,19,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,6,VALPARAÍSO,8.0,30.0,1.0,31.0,39,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,7,METROPOLITANA DE SANTIAGO,98.0,156.0,,156.0,254,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,5.0,16.0,,16.0,21,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,9,MAULE,6.0,9.0,,9.0,15,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,10,ÑUBLE,2.0,2.0,,2.0,4,2019,BOL,1.83954504969027,2.21670563961031,3.682
