SEXO,EDAD,EDAD_NUMERICA,PAIS,PAIS_CODIGO,PAIS_ISO,ANIO,CODREGEO,REGION,CENSO_AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
1,00 A 04,2,BOLIVIA,2,BO,2018,5,COQUIMBO,9.0,17.0,0.0,17.0,26
1,00 A 04,2,BOLIVIA,2,BO,2018,6,VALPARAÍSO,16.0,31.0,0.0,31.0,47
1,00 A 04,2,BOLIVIA,2,BO,2018,7,METROPOLITANA DE SANTIAGO,146.0,121.0,4.0,125.0,271
1,00 A 04,2,BOLIVIA,2,BO,2018,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,8.0,13.0,0.0,13.0,21
1,00 A 04,2,BOLIVIA,2,BO,2018,9,MAULE,7.0,7.0,0.0,7.0,14
1,00 A 04,2,BOLIVIA,2,BO,2018,10,ÑUBLE,3.0,1.0,0.0,1.0,4
1,00 A 04,2,BOLIVIA,2,BO,2018,11,BIOBÍO,2.0,0.0,0.0,0.0,2
1,00 A 04,2,BOLIVIA,2,BO,2018,12,LA ARAUCANÍA,2.0,1.0,0.0,1.0,3
1,00 A 04,2,BOLIVIA,2,BO,2018,14,LOS LAGOS,1.0,0.0,0.0,0.0,1
1,00 A 04,2,BOLIVIA,2,BO,2018,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,1.0,0.0,0.0,0.0,1
1,00 A 04,2,BOLIVIA,2,BO,2018,17,REGIÓN IGNORADA,0.0,188.0,2.0,190.0,190
1,00 A 04,2,BOLIVIA,2,BO,2019,1,ARICA Y PARINACOTA,55.0,66.0,2.0,68.0,123
1,00 A 04,2,BOLIVIA,2,BO,2019,2,TARAPACÁ,182.0,291.0,8.0,299.0,481
1,00 A 04,2,BOLIVIA,2,BO,2019,3,ANTOFAGASTA,204.0,319.0,3.0,322.0,526
1,00 A 04,2,BOLIVIA,2,BO,2019,4,ATACAMA,23.0,55.0,0.0,55.0,78
1,00 A 04,2,BOLIVIA,2,BO,2019,5,COQUIMBO,4.0,15.0,0.0,15.0,19
1,00 A 04,2,BOLIVIA,2,BO,2019,6,VALPARAÍSO,8.0,30.0,1.0,31.0,39
1,00 A 04,2,BOLIVIA,2,BO,2019,7,METROPOLITANA DE SANTIAGO,98.0,156.0,0.0,156.0,254
1,00 A 04,2,BOLIVIA,2,BO,2019,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,5.0,16.0,0.0,16.0,21
1,00 A 04,2,BOLIVIA,2,BO,2019,9,MAULE,6.0,9.0,0.0,9.0,15
1,00 A 04,2,BOLIVIA,2,BO,2019,10,ÑUBLE,2.0,2.0,0.0,2.0,4
1,00 A 04,2,BOLIVIA,2,BO,2019,11,BIOBÍO,1.0,0.0,0.0,0.0,1
1,00 A 04,2,BOLIVIA,2,BO,2019,12,LA ARAUCANÍA,1.0,2.0,0.0,2.0,3
1,00 A 04,2,BOLIVIA,2,BO,2019,14,LOS LAGOS,1.0,1.0,0.0,1.0,2
1,00 A 04,2,BOLIVIA,2,BO,2019,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,1.0,0.0,0.0,0.0,1
1,00 A 04,2,BOLIVIA,2,BO,2019,17,REGIÓN IGNORADA,0.0,238.0,3.0,241.0,241
1,00 A 04,2,BOLIVIA,2,BO,2020,1,ARICA Y PARINACOTA,28.0,53.0,2.0,55.0,83
