CODREGEO,REGION,ANIO,estimation,rate,rate_lag1,pct_women_lag1,mean_age_lag1,pct_irregular_lag1,pct_venezuela_lag1,pct_peru_lag1,pct_colombia_lag1,pct_haiti_lag1,pct_bolivia_lag1,sol_total_lag1,sol_otorgadas_lag1,sol_pct_otorga_lag1,sol_share_lag1,macro_inflacion_origen_lag1,macro_crecimiento_pib_origen_lag1,macro_desempleo_origen_lag1,censo_n_migrantes,censo_mean_edad,censo_mean_escolaridad,censo_pct_mujer,censo_pct_urbano,censo_pct_llegada_reciente,censo_pct_ocupado,censo_pct_venezuela
11,BIOBÍO,2021,37575,0.0245909203057847,0.0246082050755773,0.4729751975417032,32.55451901443231,0.0442822651448639,0.5006584723441615,0.0408801580333626,0.0759986830553116,0.0966856892010535,0.0105629938542581,3298.0,2367.0,0.717707701637356,0.03205275772881769,6.450933982629478,-3.3075145727885573,9.450057027066144,19126,28.182055840217505,10.221263014702036,0.508992993830388,0.9699884973334728,0.3084806023214472,0.5329463445246313,0.736798075917599
11,BIOBÍO,2022,40344,0.025253163843859,0.0245909203057847,0.4760878243512974,33.056902563010674,0.0593479707252162,0.5014770459081836,0.0415435795076513,0.0782168995342648,0.092375249500998,0.0107784431137724,1024.0,786.0,0.767578125,0.037128011336797356,6.7186978802625195,3.2065005853099056,8.489448445493899,19126,28.182055840217505,10.221263014702036,0.508992993830388,0.9699884973334728,0.3084806023214472,0.5329463445246313,0.736798075917599
11,BIOBÍO,2023,50463,0.0279282520145222,0.025253163843859,0.4729327781082689,32.49623221456547,0.1065338092405314,0.5137814792782074,0.042112829664882,0.0802845528455284,0.0831846123339282,0.0109805671227443,3278.0,3183.0,0.9710189139719341,0.03406063070486137,10.990218583779734,1.6218355177509591,6.927830951129795,19126,28.182055840217505,10.221263014702036,0.508992993830388,0.9699884973334728,0.3084806023214472,0.5329463445246313,0.736798075917599
12,LA ARAUCANÍA,2021,22064,0.0144397622255977,0.0146428542493174,0.4598856510512726,34.32228165636816,0.0282183696053116,0.2457580228697897,0.0311232017705643,0.0653356694946514,0.1814828476576908,0.0111582441903356,986.0,682.0,0.691683569979716,0.009235310845396564,16.686819984038838,-5.331586608238444,10.845829596194914,5603,28.699089773335714,10.398068669527897,0.5197215777262181,0.889880421202927,0.308584686774942,0.4868726558313984,0.5950383723005532
12,LA ARAUCANÍA,2022,22857,0.0143072468267669,0.0144397622255977,0.4652828136330674,34.935409301060645,0.0439630166787527,0.2555746918056563,0.0315445975344452,0.0662617839013778,0.1696881798404641,0.0121011602610587,260.0,210.0,0.8076923076923077,0.009919697685403874,17.469486978546488,4.826814975617031,9.421039506290507,5603,28.699089773335714,10.398068669527897,0.5197215777262181,0.889880421202927,0.308584686774942,0.4868726558313984,0.5950383723005532
12,LA ARAUCANÍA,2023,25227,0.0139616355264323,0.0143072468267669,0.4650654066587916,34.98556051457075,0.0653629085181782,0.2739642122763267,0.0326377039856499,0.0703066894168088,0.1553572209826311,0.0128625803911274,1149.0,1143.0,0.9947780678851175,0.01223100876395116,27.237362447495464,2.4007658310082904,7.7888158149840745,5603,28.699089773335714,10.398068669527897,0.5197215777262181,0.889880421202927,0.308584686774942,0.4868726558313984,0.5950383723005532
13,LOS RÍOS,2021,8404,0.0054999892015918,0.0055781658893332,0.4571532316630355,34.02348099733721,0.0332849189058339,0.2638586298717018,0.0242072137496974,0.0847252481239409,0.1784071653352699,0.0145243282498184,578.0,410.0,0.7093425605536332,0.005552019716440749,13.68435916676482,-4.9092679611359795,10.741732427488895,1912,28.915794979079497,10.53898482469911,0.5193514644351465,0.8645397489539749,0.354602510460251,0.5094240837696336,0.5523012552301255
13,LOS RÍOS,2022,8756,0.0054807828330564,0.0054999892015918,0.4565683008091385,34.78605425987625,0.03998096144693,0.2665397429795335,0.0266539742979533,0.0878153260352213,0.1675392670157068,0.015111851499286,143.0,122.0,0.8531468531468531,0.005762871988663203,14.125452235591363,4.41769967077486,9.445997688751925,1912,28.915794979079497,10.53898482469911,0.5193514644351465,0.8645397489539749,0.354602510460251,0.5094240837696336,0.5523012552301255
13,LOS RÍOS,2023,9379,0.0051907154874701,0.0054807828330564,0.4582000913659205,35.047967108268615,0.0615577889447236,0.2997944266788488,0.0268387391502969,0.0909090909090909,0.1485838282320694,0.0162174508908177,506.0,506.0,1.0,0.005414602304951258,22.15539970522849,2.23763187347312,7.773537626449544,1912,28.915794979079497,10.53898482469911,0.5193514644351465,0.8645397489539749,0.354602510460251,0.5094240837696336,0.5523012552301255
14,LOS LAGOS,2021,29330,0.0191949884915147,0.0189773767631784,0.4581613775437598,33.77351643660168,0.0422655471751814,0.3966486409563113,0.0256510601963853,0.087590721502775,0.1510957734452825,0.0083961861391774,2324.0,1642.0,0.7065404475043029,0.022235161888770026,11.59579845861587,-4.086468106627951,10.319420924025414,13470,28.142538975501115,10.199539410147834,0.5069784706755753,0.9066815144766148,0.3076466221232368,0.5549777117384844,0.7198218262806236
14,LOS LAGOS,2022,31115,0.0194763085713284,0.0191949884915147,0.4647459938629389,34.18960109103307,0.0694851687691783,0.4089328332765087,0.0251278554381179,0.0901125127855438,0.1421752471871803,0.010398908966928,621.0,502.0,0.8083735909822867,0.023712801133679736,11.708242634624758,3.672635759876009,9.130937554081338,13470,28.142538975501115,10.199539410147834,0.5069784706755753,0.9066815144766148,0.3076466221232368,0.5549777117384844,0.7198218262806236
14,LOS LAGOS,2023,37720,0.0208757637474541,0.0194763085713284,0.4638598746585248,33.67838663024265,0.1040334243933794,0.421533022657882,0.0258717660292463,0.0918528041137714,0.1315121324120199,0.0115699823236381,2344.0,2314.0,0.9872013651877133,0.024761639789836386,18.64365332466644,1.8752118918163738,7.518442331979383,13470,28.142538975501115,10.199539410147834,0.5069784706755753,0.9066815144766148,0.3076466221232368,0.5549777117384844,0.7198218262806236
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2021,4063,0.0026590261930114,0.0027046880359076,0.5049925112331503,35.36994508237643,0.0376934598102845,0.2021967049425861,0.0317024463305042,0.1752371442835746,0.0946080878681977,0.0072391412880678,339.0,235.0,0.6932153392330384,0.003182255203325795,16.505659501365287,-6.1323373110869746,11.254766244057054,951,28.30073606729758,9.834736842105263,0.5289169295478444,0.9263932702418508,0.3480546792849632,0.5068349106203995,0.434279705573081
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2022,4159,0.0026033092511057,0.0026590261930114,0.5089835097218803,36.14521289687424,0.0457789810484863,0.2020674378538026,0.0319960620231356,0.1806546886537041,0.0878661087866108,0.0073837066207236,27.0,27.0,1.0,0.0012753897024090695,18.3964874341847,6.617477295013034,9.597055222714248,951,28.30073606729758,9.834736842105263,0.5289169295478444,0.9263932702418508,0.3480546792849632,0.5068349106203995,0.434279705573081
15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,2023,4555,0.0025209200389621,0.0026033092511057,0.5092570329406108,36.56167347920173,0.05890839144025,0.2038951671074777,0.0331810531377735,0.1962010098581389,0.0764606876653041,0.0074537148352969,122.0,122.0,1.0,0.0013054969984269832,28.70330325577936,3.6528946171301566,7.71365635387369,951,28.30073606729758,9.834736842105263,0.5289169295478444,0.9263932702418508,0.3480546792849632,0.5068349106203995,0.434279705573081
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2021,10471,0.0068527352367763,0.0068960767845134,0.5171333463873116,33.80761699627961,0.0216369688662619,0.2636577246915997,0.0247699236342275,0.2554337184256902,0.0196788721362835,0.0117485803798707,735.0,560.0,0.7619047619047619,0.007583246441967852,11.237225827471025,-5.437533390858007,11.112244635649034,3612,27.756644518272424,10.014991671293728,0.5243632336655593,0.9806201550387597,0.358250276854928,0.5249307479224377,0.3726467331118493
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2022,11197,0.0070087169234505,0.0068527352367763,0.5155190526215261,34.391175627924746,0.0251169897813007,0.2566135039633272,0.0254989972304459,0.2643491548085188,0.0191003724572629,0.0125107439595072,142.0,119.0,0.8380281690140845,0.005621162021728862,13.123085971110873,6.670803745079,9.623006216972335,3612,27.756644518272424,10.014991671293728,0.5243632336655593,0.9806201550387597,0.358250276854928,0.5249307479224377,0.3726467331118493
16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,2023,12216,0.0067608252900026,0.0070087169234505,0.5141555773868001,34.29909797267125,0.0416182906135572,0.2621237831562025,0.0232205054925426,0.2811467357327856,0.0171474502098776,0.0130392069304277,627.0,627.0,1.0,0.006709398508309167,20.42202087634766,3.819924102577337,7.6284383164005805,3612,27.756644518272424,10.014991671293728,0.5243632336655593,0.9806201550387597,0.358250276854928,0.5249307479224377,0.3726467331118493
